Parameters,MRR20
Epoch:5-Lr:0.0004-BatchSize:100-embedding:50-L2:0.0001,0.3551395467821633
Epoch:6-Lr:1e-04-BatchSize:20-embedding:20-L2:0.0001,0.3368956216331224
Epoch:4-Lr:0.0009-BatchSize:100-embedding:100-L2:1e-05,0.3757838725579034
Epoch:4-Lr:0.0004-BatchSize:100-embedding:20-L2:1e-06,0.3759300528917978
Epoch:5-Lr:1e-04-BatchSize:20-embedding:20-L2:1e-06,0.3558561533760796
Epoch:6-Lr:0.0003-BatchSize:100-embedding:30-L2:5e-05,0.3339804931540675
Epoch:4-Lr:0.0006-BatchSize:20-embedding:50-L2:1e-05,0.3352994792356383
Epoch:2-Lr:0.0003-BatchSize:100-embedding:30-L2:1e-05,0.4156010230179028
Epoch:9-Lr:0.0003-BatchSize:100-embedding:30-L2:1e-05,0.2673772352531368
Epoch:2-Lr:0.007-BatchSize:20-embedding:50-L2:0.0001,0.2134622388235368
Epoch:4-Lr:0.003-BatchSize:50-embedding:100-L2:0.0001,0.3465613895324071
Epoch:4-Lr:0.01-BatchSize:50-embedding:100-L2:1e-05,0.3513847566725555
Epoch:4-Lr:0.009-BatchSize:100-embedding:100-L2:0.0001,0.2587302282159759
Epoch:4-Lr:0.004-BatchSize:20-embedding:20-L2:0.0001,0.3122706572028118
Epoch:3-Lr:0.001-BatchSize:100-embedding:50-L2:0.0001,0.4805641543457187
Epoch:7-Lr:0.0003-BatchSize:50-embedding:20-L2:0.0001,0.4832079078257482
Epoch:4-Lr:0.006-BatchSize:100-embedding:50-L2:1e-05,0.4745488532895714
Epoch:5-Lr:0.005-BatchSize:20-embedding:100-L2:0.0001,0.2088218185437552
Epoch:5-Lr:0.0006-BatchSize:50-embedding:100-L2:1e-05,0.545884132080134
Epoch:6-Lr:0.0005-BatchSize:50-embedding:20-L2:1e-05,0.2879244565180453
Epoch:4-Lr:0.002-BatchSize:100-embedding:50-L2:1e-05,0.3009687351490848
Epoch:3-Lr:0.0003-BatchSize:100-embedding:100-L2:0.0001,0.293488709057963
Epoch:2-Lr:0.0006-BatchSize:50-embedding:100-L2:1e-05,0.5497726563854067
Epoch:9-Lr:0.0006-BatchSize:50-embedding:100-L2:1e-05,0.5358606904060706
Epoch:3-Lr:0.0006-BatchSize:20-embedding:50-L2:1e-05,0.3324433870323182
Epoch:3-Lr:0.0006-BatchSize:20-embedding:50-L2:1e-05,0.324927257040756
Epoch:7-Lr:0.0003-BatchSize:100-embedding:20-L2:1e-05,0.3308208112337742
Epoch:3-Lr:0.001-BatchSize:100-embedding:50-L2:0.0001,0.5370662796376766
Epoch:4-Lr:0.0006-BatchSize:20-embedding:50-L2:1e-05,0.3404783762256814
Epoch:4-Lr:0.0007-BatchSize:50-embedding:50-L2:1e-05,0.299701251012203
